GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009607	BP	response to biotic stimulus	Pjv1_00004905|Pjv1_00004906|Pjv1_00004907|Pjv1_00004908|Pjv1_00004909|Pjv1_00004910|Pjv1_00005028|Pjv1_00005032|Pjv1_00005042|Pjv1_00007394|Pjv1_00008574|Pjv1_00010787|Pjv1_00010788|Pjv1_00011283|Pjv1_00011779|Pjv1_00020084|Pjv1_00026917|Pjv1_00028250|Pjv1_00028252|Pjv1_00029714	2.82266238858489e-09	8.24217417466789e-07
GO:0008152	BP	metabolic process	Pjv1_00000158|Pjv1_00001594|Pjv1_00001974|Pjv1_00002223|Pjv1_00003654|Pjv1_00004699|Pjv1_00004700|Pjv1_00005010|Pjv1_00005838|Pjv1_00006176|Pjv1_00006662|Pjv1_00006689|Pjv1_00007461|Pjv1_00007463|Pjv1_00009100|Pjv1_00009153|Pjv1_00011863|Pjv1_00013104|Pjv1_00013608|Pjv1_00013681|Pjv1_00013870|Pjv1_00013872|Pjv1_00015917|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684|Pjv1_00019020|Pjv1_00019786|Pjv1_00019792|Pjv1_00019976|Pjv1_00019978|Pjv1_00020271|Pjv1_00020515|Pjv1_00020918|Pjv1_00022280|Pjv1_00027158|Pjv1_00027540|Pjv1_00027541|Pjv1_00029093	4.02471672293803e-07	5.87608641548952e-05
GO:0006952	BP	defense response	Pjv1_00001855|Pjv1_00001970|Pjv1_00003346|Pjv1_00004905|Pjv1_00004906|Pjv1_00004907|Pjv1_00004908|Pjv1_00004909|Pjv1_00004910|Pjv1_00005028|Pjv1_00005032|Pjv1_00005042|Pjv1_00007394|Pjv1_00008332|Pjv1_00008574|Pjv1_00010787|Pjv1_00010788|Pjv1_00011283|Pjv1_00011779|Pjv1_00013870|Pjv1_00013872|Pjv1_00017641|Pjv1_00019767|Pjv1_00019920|Pjv1_00020084|Pjv1_00023493|Pjv1_00026297|Pjv1_00026917|Pjv1_00027322|Pjv1_00028250|Pjv1_00028252|Pjv1_00029714	1.38876547257982e-06	0.000135173172664435
GO:0006412	BP	translation	Pjv1_00015417	1.38493497949595e-05	0.00101100253503204
GO:0010231	BP	maintenance of seed dormancy	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00030116	9.07556797969451e-05	0.00412650476144972
GO:0045339	BP	farnesyl diphosphate catabolic process	Pjv1_00004699|Pjv1_00018680|Pjv1_00018683|Pjv1_00018684	9.89230593498221e-05	0.00412650476144972
GO:1901940	BP	(-)-exo-alpha-bergamotene biosynthetic process	Pjv1_00004699|Pjv1_00018680|Pjv1_00018683|Pjv1_00018684	9.89230593498221e-05	0.00412650476144972
GO:0010023	BP	proanthocyanidin biosynthetic process	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00030116	0.000147230737375586	0.00537392191420888
GO:0009410	BP	response to xenobiotic stimulus	Pjv1_00016358|Pjv1_00016360|Pjv1_00028839|Pjv1_00029749|Pjv1_00029825	0.00016738654953442	0.00543076360711674
GO:0006355	BP	regulation of DNA-templated transcription	Pjv1_00000666|Pjv1_00001184|Pjv1_00001918|Pjv1_00002298|Pjv1_00002413|Pjv1_00002649|Pjv1_00003270|Pjv1_00003346|Pjv1_00004595|Pjv1_00004974|Pjv1_00005174|Pjv1_00006204|Pjv1_00007086|Pjv1_00007665|Pjv1_00008940|Pjv1_00010320|Pjv1_00011986|Pjv1_00012388|Pjv1_00012415|Pjv1_00012650|Pjv1_00013276|Pjv1_00014337|Pjv1_00014389|Pjv1_00014654|Pjv1_00015032|Pjv1_00015043|Pjv1_00016358|Pjv1_00016360|Pjv1_00017051|Pjv1_00017673|Pjv1_00018368|Pjv1_00018785|Pjv1_00018875|Pjv1_00019631|Pjv1_00021464|Pjv1_00021656|Pjv1_00022428|Pjv1_00022539|Pjv1_00023136|Pjv1_00023337|Pjv1_00023493|Pjv1_00024126|Pjv1_00025469|Pjv1_00025854|Pjv1_00026155|Pjv1_00026666|Pjv1_00026803|Pjv1_00028839|Pjv1_00029685|Pjv1_00029748|Pjv1_00029749|Pjv1_00029825	0.000197328143825546	0.00576198179970595
